"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-06-20.nlogo"
"LastSens_percentage_per_svo_10_15_20"
"07/06/2021 10:32:53:647 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","percentage-loss-per-svo","[step]","community-formation-time-list","subsidy-application-time","energy-diversity","initial-insulation-score","final-insulation","total-costs-per-household","total-co2-per-household","svo-1","svo-2","svo-3","svo-4","overall-pho-ptick-benefit","accumulated-miscomfort","count-biogas","count-electricboiler","count-ates","count-woodpellet","count-solar","count-heatpump","project-leaders","participation-while-forming","participation-at-the-end","initial-A","initial-B","initial-C","initial-D","initial-E","initial-F","initial-G","final-A","final-B","final-C","final-D","final-E","final-F","final-G","decided-percentage-plan","average-gas-percent","benefit-per-person-due-to-subsidy"
"5","10","239","[37 37 49]","[15 14 15]","[0.46 0.54 0.35]","[3.4583333333333335 3.48 3.493333333333333]","[2.81 2.861666666666667 2.81]","[113.44874317307655 138.05148222969373 114.19267443792774]","[157.10097976274565 156.80387839574152 159.44321501238448]","[0.38333333333333336 0.5733333333333334 0.31666666666666665]","[0.35 0.20833333333333334 0.38]","[0.20333333333333334 0.18333333333333332 0.27666666666666667]","[0.06333333333333334 0.035 0.02666666666666667]","[75.82401177923704 51.24504083198012 74.89270169441477]","[0.6822134235113263 1.1559272712236273 0.8135411926608317]","[0 0 0]","[0 1 0]","[1 0 1]","[0 0 0]","[3 0 1]","[375 315 352]","[community-board municipality community-board]","[0.8616666666666667 0.8066666666666666 0.9016666666666666]","[0.8683333333333333 0.8166666666666667 0.9116666666666666]","[0.055 0.051666666666666666 0.07]","[0.19 0.17666666666666667 0.17833333333333334]","[0.32 0.30833333333333335 0.30833333333333335]","[0.23666666666666666 0.25833333333333336 0.21833333333333332]","[0.10333333333333333 0.13 0.11333333333333333]","[0.065 0.058333333333333334 0.08]","[0.03 0.016666666666666666 0.03166666666666667]","[0.055 0.051666666666666666 0.07]","[0.4666666666666667 0.415 0.4583333333333333]","[0.25 0.29 0.22666666666666666]","[0.11833333333333333 0.145 0.12666666666666668]","[0.06833333333333333 0.065 0.075]","[0.035 0.028333333333333332 0.041666666666666664]","[0.006666666666666667 0.005 0.0016666666666666668]","[91.73752310536044 88.05242009380463 91.11913357400722]","[14.13005360041285 19.088885874533982 8.65014324264216]","[4148.926090232327 3565.3601680494826 4415.400457192223]"
"7","10","239","[49 37 37]","[15 15 15]","[0.28 0.47 0.31]","[3.47 3.4716666666666667 3.53]","[2.74 2.8333333333333335 2.775]","[110.11031572616147 116.21999036014417 108.47902628687696]","[153.8658357397368 156.8794131375212 154.95896710294642]","[0.48 0.27 0.31]","[0.265 0.205 0.4]","[0.20833333333333334 0.41333333333333333 0.285]","[0.04666666666666667 0.11166666666666666 0.005]","[79.42125074799291 73.07048992218753 80.96508967822058]","[0.9861969298662451 1.0077639596250516 0.6359586184667123]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[2 2 0]","[376 331 365]","[community-board community-board community-board]","[0.9316666666666666 0.8483333333333334 0.9266666666666666]","[0.9333333333333333 0.855 0.9283333333333333]","[0.04833333333333333 0.05333333333333334 0.045]","[0.17333333333333334 0.20166666666666666 0.145]","[0.3233333333333333 0.29 0.37166666666666665]","[0.2683333333333333 0.24 0.21333333333333335]","[0.105 0.13333333333333333 0.13166666666666665]","[0.065 0.05333333333333334 0.085]","[0.016666666666666666 0.028333333333333332 0.008333333333333333]","[0.04833333333333333 0.05333333333333334 0.045]","[0.475 0.45 0.5033333333333333]","[0.275 0.25 0.205]","[0.115 0.14833333333333334 0.14]","[0.06333333333333334 0.058333333333333334 0.09166666666666666]","[0.023333333333333334 0.035 0.015]","[0 0.005 0]","[91.13207547169812 87.64397905759162 90.73949579831933]","[6.383867998690054 15.172986158567593 7.890309555689596]","[4428.684312509098 4628.098950658025 2918.8244853005976]"
"4","10","239","[37 37 49]","[14 15 15]","[0.55 0.4 0.4]","[3.4816666666666665 3.486666666666667 3.5033333333333334]","[2.8566666666666665 2.7916666666666665 2.8366666666666664]","[138.60766133058314 110.57651666433703 115.61044224369206]","[157.03546504637725 156.47548897805473 159.03392084544703]","[0.44166666666666665 0.47 0.35]","[0.30833333333333335 0.2733333333333333 0.3333333333333333]","[0.21333333333333335 0.22 0.275]","[0.03666666666666667 0.03666666666666667 0.041666666666666664]","[50.67033479903975 78.74627755075188 73.50767742200547]","[1.3409914040612898 0.527045609371677 1.1097485544641421]","[0 0 0]","[1 0 0]","[0 1 1]","[0 0 0]","[2 1 1]","[304 367 352]","[municipality community-board community-board]","[0.8083333333333333 0.8916666666666667 0.8816666666666667]","[0.8116666666666666 0.8983333333333333 0.8866666666666667]","[0.04666666666666667 0.04666666666666667 0.051666666666666666]","[0.17 0.175 0.18833333333333332]","[0.34833333333333333 0.34833333333333333 0.29833333333333334]","[0.23333333333333334 0.22 0.24666666666666667]","[0.115 0.12166666666666667 0.12666666666666668]","[0.065 0.06166666666666667 0.058333333333333334]","[0.021666666666666667 0.02666666666666667 0.03]","[0.04666666666666667 0.04666666666666667 0.051666666666666666]","[0.455 0.495 0.44666666666666666]","[0.25 0.22166666666666668 0.25666666666666665]","[0.13166666666666665 0.13 0.13666666666666666]","[0.08 0.07333333333333333 0.075]","[0.03333333333333333 0.03 0.03333333333333333]","[0.0033333333333333335 0.0033333333333333335 0]","[86.89090629734369 91.91956124314443 91.23388581952118]","[19.886640827558963 11.063239522100053 10.4813865227594]","[3747.9655182134566 4034.769559610476 4360.887810705248]"
"6","10","239","[37 37 49]","[15 14 15]","[0.33 0.54 0.23]","[3.433333333333333 3.525 3.4816666666666665]","[2.743333333333333 2.9 2.75]","[107.23809736010655 149.2097240769486 108.9776917867187]","[153.42923447335275 159.99006656014708 154.58303961370524]","[0.38 0.4266666666666667 0.6683333333333333]","[0.38166666666666665 0.35833333333333334 0.15166666666666667]","[0.22166666666666668 0.20833333333333334 0.14166666666666666]","[0.016666666666666666 0.006666666666666667 0.03833333333333333]","[82.32839721535859 39.83190393157285 80.49649837751818]","[0.6743244864311231 1.3723463017092914 0.9178328542141422]","[0 0 0]","[0 1 0]","[1 0 1]","[0 0 0]","[0 1 0]","[384 276 384]","[community-board municipality community-board]","[0.9166666666666666 0.815 0.945]","[0.9183333333333333 0.815 0.9483333333333334]","[0.055 0.05 0.05]","[0.19666666666666666 0.18 0.18333333333333332]","[0.31 0.29833333333333334 0.29833333333333334]","[0.245 0.26666666666666666 0.25]","[0.11 0.115 0.15333333333333332]","[0.058333333333333334 0.051666666666666666 0.051666666666666666]","[0.025 0.03833333333333333 0.013333333333333334]","[0.055 0.05 0.05]","[0.485 0.42333333333333334 0.465]","[0.245 0.2733333333333333 0.26166666666666666]","[0.12666666666666668 0.14666666666666667 0.14833333333333334]","[0.056666666666666664 0.05333333333333334 0.058333333333333334]","[0.028333333333333332 0.043333333333333335 0.016666666666666666]","[0.0033333333333333335 0.01 0]","[91.32773109243698 86.3112408863465 92.08474576271186]","[8.565832966305015 19.56363397510855 4.848786240596896]","[3858.9664959886563 3831.716688569019 4275.050071852244]"
"3","10","239","[49 37 37]","[15 15 15]","[0.28 0.32 0.28]","[3.441666666666667 3.365 3.4466666666666668]","[2.7483333333333335 2.6566666666666667 2.7483333333333335]","[108.63331999559452 104.92022218515393 103.99351787930482]","[154.39481484527556 148.03505957457924 152.9963109231943]","[0.29333333333333333 0.37333333333333335 0.4083333333333333]","[0.3933333333333333 0.405 0.3433333333333333]","[0.305 0.21 0.22333333333333333]","[0.008333333333333333 0.011666666666666667 0.025]","[80.85592815011647 85.07780638221308 85.607610580173]","[1.08202666781941 1.2099043673224246 1.0030994353585054]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[2 0 1]","[378 388 385]","[community-board community-board community-board]","[0.9283333333333333 0.91 0.94]","[0.9333333333333333 0.92 0.94]","[0.06166666666666667 0.05333333333333334 0.051666666666666666]","[0.18833333333333332 0.18 0.2]","[0.305 0.37833333333333335 0.30666666666666664]","[0.24833333333333332 0.22 0.23833333333333334]","[0.11 0.095 0.12]","[0.06166666666666667 0.051666666666666666 0.06166666666666667]","[0.025 0.021666666666666667 0.021666666666666667]","[0.06166666666666667 0.05333333333333334 0.051666666666666666]","[0.4666666666666667 0.525 0.4866666666666667]","[0.25 0.24166666666666667 0.24166666666666667]","[0.13166666666666665 0.09833333333333333 0.13]","[0.06333333333333334 0.056666666666666664 0.06333333333333334]","[0.02666666666666667 0.023333333333333334 0.025]","[0 0.0016666666666666668 0.0016666666666666668]","[89.7864768683274 89.40860215053763 90.580204778157]","[6.243780162772625 8.166304064876936 6.632710166735225]","[4429.897429839309 4530.978287085915 2657.624087816622]"
"2","10","239","[49 37 37]","[15 15 14]","[0.38 0.28 0.46]","[3.4166666666666665 3.35 3.4716666666666667]","[2.7333333333333334 2.671666666666667 2.8066666666666666]","[112.49314980960013 100.97613534175478 133.0787528369757]","[153.1519290778491 149.315176209801 153.40321671712456]","[0.3 0.45 0.3933333333333333]","[0.385 0.34833333333333333 0.3516666666666667]","[0.29333333333333333 0.165 0.235]","[0.021666666666666667 0.03666666666666667 0.02]","[77.0955291975054 88.91948389479455 56.48982315898755]","[1.1792141930675646 0.8244220751901663 2.185260423042277]","[0 0 0]","[0 0 1]","[1 1 0]","[0 0 0]","[1 2 1]","[359 408 279]","[community-board community-board municipality]","[0.8866666666666667 0.935 0.8566666666666667]","[0.8933333333333333 0.9416666666666667 0.8633333333333333]","[0.06166666666666667 0.06833333333333333 0.04666666666666667]","[0.17166666666666666 0.20166666666666666 0.18833333333333332]","[0.33666666666666667 0.30833333333333335 0.32166666666666666]","[0.245 0.24833333333333332 0.24]","[0.11333333333333333 0.1 0.11833333333333333]","[0.04666666666666667 0.05333333333333334 0.06333333333333334]","[0.025 0.02 0.021666666666666667]","[0.06166666666666667 0.06833333333333333 0.04666666666666667]","[0.4666666666666667 0.485 0.47]","[0.26166666666666666 0.26 0.255]","[0.12666666666666668 0.10666666666666667 0.125]","[0.05333333333333334 0.055 0.07]","[0.03 0.023333333333333334 0.028333333333333332]","[0 0.0016666666666666668 0.005]","[89.94545454545455 90.67615658362989 85.08645472138551]","[9.782836588255602 6.620460351828617 14.996648276570507]","[4412.243943425814 3338.519793470023 4080.5720399409975]"
"1","10","239","[37 37 49]","[14 15 15]","[0.51 0.31 0.4]","[3.4683333333333333 3.4266666666666667 3.4783333333333335]","[2.8216666666666668 2.7416666666666667 2.796666666666667]","[135.89190318221964 104.8480926949768 115.70037656931211]","[155.10954071165997 153.13563139110957 157.6198957456666]","[0.39 0.405 0.42833333333333334]","[0.345 0.3933333333333333 0.3]","[0.21 0.18333333333333332 0.21833333333333332]","[0.055 0.018333333333333333 0.05333333333333334]","[53.540166894180786 84.74189012706772 73.530865104368]","[1.6476946051849573 0.592036369672911 0.8212426050046453]","[0 0 0]","[1 0 0]","[0 1 1]","[0 0 0]","[1 7 2]","[288 390 374]","[municipality community-board community-board]","[0.8216666666666667 0.9283333333333333 0.8866666666666667]","[0.8266666666666667 0.9316666666666666 0.8933333333333333]","[0.06166666666666667 0.051666666666666666 0.051666666666666666]","[0.16833333333333333 0.205 0.18333333333333332]","[0.3233333333333333 0.3016666666666667 0.31]","[0.23666666666666666 0.25833333333333336 0.2683333333333333]","[0.12333333333333334 0.09666666666666666 0.09]","[0.07 0.06333333333333334 0.07]","[0.016666666666666666 0.023333333333333334 0.02666666666666667]","[0.06166666666666667 0.051666666666666666 0.051666666666666666]","[0.44 0.49166666666666664 0.4666666666666667]","[0.24833333333333332 0.25166666666666665 0.255]","[0.14833333333333334 0.1 0.125]","[0.07166666666666667 0.08 0.06666666666666667]","[0.02666666666666667 0.023333333333333334 0.03166666666666667]","[0.0033333333333333335 0.0016666666666666668 0.0033333333333333335]","[86.61498904643253 91.66371681415929 91.47329650092081]","[17.269010279873157 7.770293356948692 10.504707853317864]","[3931.2929994258952 3667.4037071283647 4366.538709950056]"
"8","10","239","[49 37 37]","[15 15 15]","[0.27 0.29 0.44]","[3.526666666666667 3.4266666666666667 3.4166666666666665]","[2.7916666666666665 2.705 2.763333333333333]","[110.9717637694881 104.033017257572 110.09204538431851]","[156.66964242065126 151.04959203119995 154.0565194949008]","[0.455 0.37 0.45666666666666667]","[0.31 0.4083333333333333 0.20666666666666667]","[0.175 0.20666666666666667 0.28833333333333333]","[0.06 0.015 0.04833333333333333]","[78.33549817019312 85.72384871326527 79.42426638942273]","[1.0816217968390125 0.5013720809217479 0.6621409854728332]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[2 5 2]","[390 388 362]","[community-board community-board community-board]","[0.9433333333333334 0.9283333333333333 0.8633333333333333]","[0.9466666666666667 0.9316666666666666 0.8683333333333333]","[0.04833333333333333 0.05333333333333334 0.05333333333333334]","[0.175 0.17 0.18166666666666667]","[0.30666666666666664 0.3416666666666667 0.34833333333333333]","[0.24833333333333332 0.25666666666666665 0.22833333333333333]","[0.13 0.10666666666666667 0.11333333333333333]","[0.07666666666666666 0.05333333333333334 0.05]","[0.015 0.018333333333333333 0.025]","[0.04833333333333333 0.05333333333333334 0.05333333333333334]","[0.4683333333333333 0.48833333333333334 0.475]","[0.25333333333333335 0.25833333333333336 0.24833333333333332]","[0.12833333333333333 0.12 0.135]","[0.07833333333333334 0.06 0.056666666666666664]","[0.021666666666666667 0.02 0.03]","[0.0016666666666666668 0 0.0016666666666666668]","[91.02564102564102 92.47440273037543 92.09345794392523]","[5.913131432453669 6.844092640164814 13.1279697080321]","[4467.017211642183 3346.673905967844 4086.774062502832]"
"9","10","239","[37 49 37]","[15 15 15]","[0.42 0.2 0.25]","[3.466666666666667 3.52 3.4816666666666665]","[2.796666666666667 2.7883333333333336 2.743333333333333]","[111.90050102862519 107.86158980561105 104.46633904598974]","[155.14264544846043 157.253210604906 152.1468674422003]","[0.51 0.4083333333333333 0.35833333333333334]","[0.155 0.405 0.4116666666666667]","[0.22333333333333333 0.18166666666666667 0.19]","[0.11166666666666666 0.005 0.04]","[77.5289206688313 81.39898667932977 85.20274489196757]","[0.607981104729846 0.8236095797940354 1.0291241526170742]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[0 1 0]","[343 362 373]","[community-board community-board community-board]","[0.8766666666666667 0.9583333333333334 0.9416666666666667]","[0.8783333333333333 0.9616666666666667 0.9416666666666667]","[0.05 0.055 0.03666666666666667]","[0.185 0.18 0.18166666666666667]","[0.31333333333333335 0.29333333333333333 0.3383333333333333]","[0.24833333333333332 0.24166666666666667 0.25333333333333335]","[0.12166666666666667 0.14333333333333334 0.10666666666666667]","[0.06666666666666667 0.065 0.06333333333333334]","[0.015 0.021666666666666667 0.02]","[0.05 0.055 0.03666666666666667]","[0.455 0.45666666666666667 0.49833333333333335]","[0.2683333333333333 0.25 0.2633333333333333]","[0.12833333333333333 0.14833333333333334 0.11166666666666666]","[0.07333333333333333 0.06333333333333334 0.06833333333333333]","[0.023333333333333334 0.02666666666666667 0.02]","[0.0016666666666666668 0 0.0016666666666666668]","[91.03806228373702 92.08981001727116 90.8703071672355]","[12.357090764549524 3.896138340501762 5.931183770700612]","[4220.507183829029 4315.028857908358 3142.99595419841]"
"10","10","239","[37 49 37]","[14 15 15]","[0.56 0.21 0.36]","[3.4116666666666666 3.455 3.4716666666666667]","[2.8216666666666668 2.6983333333333333 2.7666666666666666]","[136.7742717759306 108.01353309652096 108.30938820638282]","[155.37351378857525 152.79126744885164 153.63298402992376]","[0.45166666666666666 0.3883333333333333 0.4033333333333333]","[0.27666666666666667 0.405 0.3416666666666667]","[0.21166666666666667 0.19 0.22333333333333333]","[0.06 0.016666666666666666 0.03166666666666667]","[52.63668045431662 81.60399884090415 81.24080640455655]","[1.2668920196436368 0.8212160259363017 0.6753497332715612]","[0 0 0]","[1 0 0]","[0 1 1]","[0 0 0]","[0 1 0]","[305 393 376]","[municipality community-board community-board]","[0.79 0.9533333333333334 0.9016666666666666]","[0.7933333333333333 0.9566666666666667 0.9033333333333333]","[0.06 0.055 0.05]","[0.19 0.15833333333333333 0.165]","[0.31833333333333336 0.3516666666666667 0.345]","[0.24 0.25 0.24166666666666667]","[0.11833333333333333 0.105 0.12166666666666667]","[0.04833333333333333 0.056666666666666664 0.055]","[0.025 0.023333333333333334 0.021666666666666667]","[0.06 0.055 0.05]","[0.44166666666666665 0.49666666666666665 0.4716666666666667]","[0.25333333333333335 0.25666666666666665 0.26166666666666666]","[0.145 0.105 0.12]","[0.065 0.06 0.07166666666666667]","[0.03166666666666667 0.02666666666666667 0.025]","[0.0033333333333333335 0 0]","[87.44179415314204 90.6890756302521 90.88447653429603]","[20.517308319240037 4.276473604987174 9.733568408829099]","[3497.826485385691 4594.947534551025 4308.181905823637]"
