"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-06-20.nlogo"
"newco2_price_increase_001-002-003"
"06/23/2021 12:14:44:867 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","co2-tax-increase-rate","[step]","community-formation-time-list","subsidy-application-time","energy-diversity","initial-insulation-score","final-insulation","total-costs-per-household","total-co2-per-household","svo-1","svo-2","svo-3","svo-4","overall-pho-ptick-benefit","accumulated-miscomfort","count-biogas","count-electricboiler","count-ates","count-woodpellet","count-solar","count-heatpump","project-leaders","participation-while-forming","participation-at-the-end"
"6","0.001","239","[37 37 37]","[15 14 14]","[0.34 0.46 0.48]","[2.9066666666666667 2.8383333333333334 2.8266666666666667]","[2.3466666666666667 2.3633333333333333 2.3266666666666667]","[78.82185095882423 104.4945900012169 103.97662988586073]","[132.4522263400644 132.87234521430992 131.52968267162825]","[0.415 0.575 0.5366666666666666]","[0.32166666666666666 0.24666666666666667 0.2733333333333333]","[0.22333333333333333 0.13833333333333334 0.15]","[0.04 0.04 0.04]","[108.86613760063729 83.15978904830492 83.78516216707571]","[0.6964966707734641 0.6009825175399862 0.46279686276904847]","[0 0 0]","[0 1 1]","[1 0 0]","[0 0 0]","[3 3 0]","[445 400 393]","[community-board municipality municipality]","[0.9033333333333333 0.835 0.825]","[0.915 0.855 0.8416666666666667]"
"8","0.001","239","[37 37 37]","[15 14 15]","[0.39 0.46 0.28]","[2.8366666666666664 2.84 2.9]","[2.3233333333333333 2.3216666666666668 2.3466666666666667]","[83.27675852387054 103.07503929026606 78.26996003555784]","[132.38729431998777 131.77129213756996 133.09617296520247]","[0.33 0.5166666666666667 0.545]","[0.38333333333333336 0.18 0.24166666666666667]","[0.27 0.25333333333333335 0.14333333333333334]","[0.016666666666666666 0.05 0.07]","[104.41642459719712 84.66742400539474 109.36651279389254]","[0.2549008536483126 0.45073281904664203 0.5047803256288546]","[0 0 0]","[0 1 0]","[1 0 1]","[0 0 0]","[1 0 1]","[433 374 446]","[community-board municipality community-board]","[0.8833333333333333 0.8433333333333334 0.92]","[0.8916666666666667 0.8566666666666667 0.9333333333333333]"
"7","0.001","239","[37 37 37]","[14 15 15]","[0.51 0.26 0.32]","[2.8466666666666667 2.82 2.8466666666666667]","[2.3516666666666666 2.2666666666666666 2.308333333333333]","[107.07775790426501 77.1156289948035 78.0761783523654]","[132.95914653719998 129.45129239729496 131.13190116448487]","[0.61 0.505 0.345]","[0.22333333333333333 0.24 0.38]","[0.135 0.21666666666666667 0.25166666666666665]","[0.03166666666666667 0.03833333333333333 0.023333333333333334]","[80.56967703942566 110.81243428007956 109.71743622114252]","[0.5384298675719531 0.40433270859730186 0.6092535238057066]","[0 0 0]","[1 0 0]","[0 1 1]","[0 0 0]","[1 1 2]","[400 447 428]","[municipality community-board community-board]","[0.8183333333333334 0.9366666666666666 0.9066666666666666]","[0.8383333333333334 0.9366666666666666 0.92]"
"3","0.001","239","[37 37 37]","[15 14 15]","[0.3 0.54 0.24]","[2.84 2.84 2.8666666666666667]","[2.295 2.3466666666666667 2.2916666666666665]","[78.27320154069291 106.6603907791911 75.73468653600712]","[131.49170087342114 132.60962478658638 130.86087716368743]","[0.5266666666666666 0.4533333333333333 0.5083333333333333]","[0.2833333333333333 0.33 0.31333333333333335]","[0.17166666666666666 0.18166666666666667 0.15666666666666668]","[0.018333333333333333 0.035 0.021666666666666667]","[109.49162905610011 81.01500590454866 112.08060995756456]","[0.2737088721020108 0.25823730671905293 0.3136343720851978]","[0 0 0]","[0 1 0]","[1 0 1]","[0 0 0]","[0 0 1]","[442 373 456]","[community-board municipality community-board]","[0.92 0.7916666666666666 0.9466666666666667]","[0.93 0.8033333333333333 0.9466666666666667]"
"4","0.001","239","[37 37 37]","[15 15 15]","[0.37 0.34 0.41]","[2.8066666666666666 2.8383333333333334 2.8716666666666666]","[2.283333333333333 2.2883333333333336 2.316666666666667]","[80.03291661201672 79.77311304050107 84.46827466684272]","[130.62865321318517 130.7975091332034 131.73288247154773]","[0.565 0.4066666666666667 0.30666666666666664]","[0.2 0.3416666666666667 0.3433333333333333]","[0.17166666666666666 0.205 0.31833333333333336]","[0.06333333333333334 0.04666666666666667 0.03166666666666667]","[107.80095779759499 108.04725289550925 103.27726140210028]","[0.3901762985442064 0.3898293674981455 0.2901210035718091]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[1 6 1]","[440 429 425]","[community-board community-board community-board]","[0.8966666666666666 0.9116666666666666 0.8783333333333333]","[0.9066666666666666 0.915 0.8816666666666667]"
"5","0.001","239","[37 37 37]","[15 15 15]","[0.28 0.32 0.27]","[2.7616666666666667 2.9283333333333332 2.9383333333333335]","[2.2333333333333334 2.3433333333333333 2.35]","[77.19530432151242 78.81159758037549 78.34103214272298]","[128.60603616348922 133.38593603604917 133.2176599249477]","[0.37833333333333335 0.3283333333333333 0.5283333333333333]","[0.35833333333333334 0.365 0.27666666666666667]","[0.245 0.29 0.17166666666666666]","[0.018333333333333333 0.016666666666666666 0.023333333333333334]","[110.80037945207519 108.8016942034073 109.28572172994802]","[0.37553049973480934 0.48700119805066183 0.3403104657959254]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[2 1 2]","[436 434 459]","[community-board community-board community-board]","[0.925 0.9066666666666666 0.9383333333333334]","[0.93 0.92 0.9416666666666667]"
"2","0.001","239","[37 37 37]","[14 15 15]","[0.53 0.3 0.19]","[2.881666666666667 2.8633333333333333 2.861666666666667]","[2.395 2.3266666666666667 2.28]","[108.51482807316826 78.80587245483262 73.77490204236554]","[133.79658447457652 132.66405758544224 129.90608337153347]","[0.48 0.47833333333333333 0.43]","[0.31166666666666665 0.325 0.37833333333333335]","[0.18 0.165 0.18833333333333332]","[0.028333333333333332 0.03166666666666667 0.0033333333333333335]","[79.06561183553225 108.86516960499864 114.11677795457835]","[1.1291388250042478 0.2863038548998461 0.5156989867900537]","[0 0 0]","[1 0 0]","[0 1 1]","[0 0 0]","[2 2 0]","[397 447 460]","[municipality community-board community-board]","[0.8033333333333333 0.9216666666666666 0.96]","[0.81 0.9266666666666666 0.9633333333333334]"
"1","0.001","239","[37 37 37]","[14 15 14]","[0.42 0.22 0.5]","[2.7783333333333333 2.8133333333333335 2.8316666666666666]","[2.275 2.263333333333333 2.37]","[102.59969378560452 75.25967475364287 107.19694899728718]","[130.44796429046744 129.70158541604258 134.54039278429659]","[0.54 0.53 0.42333333333333334]","[0.27666666666666667 0.285 0.3016666666666667]","[0.17166666666666666 0.18 0.25833333333333336]","[0.011666666666666667 0.005 0.016666666666666666]","[85.24863573782487 112.64836507974033 80.3239862466358]","[0.3299598239212184 0.3005748839987355 0.28049040197044905]","[0 0 0]","[1 0 1]","[0 1 0]","[0 0 0]","[1 0 0]","[415 455 374]","[municipality community-board municipality]","[0.8666666666666667 0.95 0.825]","[0.885 0.95 0.835]"
"9","0.001","239","[37 37 37]","[15 15 14]","[0.29 0.28 0.48]","[2.7666666666666666 2.855 2.8666666666666667]","[2.2283333333333335 2.29 2.3516666666666666]","[77.51861884719915 77.8075571643394 105.43131261824313]","[127.8767423072523 131.1684967853242 132.64041350397605]","[0.3283333333333333 0.47333333333333333 0.4633333333333333]","[0.37833333333333335 0.31166666666666665 0.3233333333333333]","[0.24666666666666667 0.16833333333333333 0.17333333333333334]","[0.04666666666666667 0.04666666666666667 0.04]","[110.5354084348874 109.98312975950122 82.24162096810527]","[0.3587349342476539 0.274057739269981 0.23418294663980274]","[0 0 0]","[0 0 1]","[1 1 0]","[0 0 0]","[2 0 1]","[440 421 393]","[community-board community-board municipality]","[0.9266666666666666 0.9333333333333333 0.84]","[0.9283333333333333 0.94 0.85]"
"11","0.001","239","[37 37 37]","[15 14 15]","[0.32 0.5 0.17]","[2.815 2.8916666666666666 2.8333333333333335]","[2.2783333333333333 2.3766666666666665 2.255]","[78.64302846386842 105.32273359155315 74.01345444399956]","[130.24103609506255 133.7121480710311 129.5493391111761]","[0.36333333333333334 0.30666666666666664 0.42]","[0.38166666666666665 0.44 0.39166666666666666]","[0.23666666666666666 0.24666666666666667 0.18166666666666667]","[0.018333333333333333 0.006666666666666667 0.006666666666666667]","[109.22185531519314 82.26446122943089 113.90676509377307]","[0.37507272185618357 0.5094298420717556 0.31018542935310706]","[0 0 0]","[0 1 0]","[1 0 1]","[0 0 0]","[1 2 3]","[450 379 458]","[community-board municipality community-board]","[0.9133333333333333 0.8283333333333334 0.955]","[0.9233333333333333 0.83 0.9616666666666667]"
