"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-06-20.nlogo"
"newgas_price_increase_0005-002"
"06/23/2021 11:22:52:668 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","gas-price-increase-scenario","[step]","community-formation-time-list","subsidy-application-time","energy-diversity","initial-insulation-score","final-insulation","total-costs-per-household","total-co2-per-household","svo-1","svo-2","svo-3","svo-4","overall-pho-ptick-benefit","accumulated-miscomfort","count-biogas","count-electricboiler","count-ates","count-woodpellet","count-solar","count-heatpump","project-leaders","participation-while-forming","participation-at-the-end"
"2","0.005","239","[49 37 37]","[15 15 14]","[0.26 0.23 0.41]","[2.865 2.7866666666666666 2.825]","[2.2983333333333333 2.243333333333333 2.315]","[69.8021779128617 66.80050353276792 89.0848186293475]","[132.1434537309516 129.48872465370158 129.5249462951244]","[0.4216666666666667 0.51 0.465]","[0.36333333333333334 0.3 0.36]","[0.19666666666666666 0.16 0.16]","[0.018333333333333333 0.03 0.015]","[75.23051245532888 78.44456516160263 56.1573523337093]","[0.5862197917435065 0.21858676757989984 1.889333024912702]","[0 0 0]","[0 0 1]","[1 1 0]","[0 0 0]","[0 0 1]","[384 445 341]","[community-board community-board municipality]","[0.9433333333333334 0.945 0.8683333333333333]","[0.9433333333333334 0.9483333333333334 0.875]"
"5","0.005","239","[49 37 37]","[15 15 15]","[0.25 0.41 0.29]","[2.8633333333333333 2.8183333333333334 2.8766666666666665]","[2.2983333333333333 2.305 2.316666666666667]","[70.66831517588153 71.23220748475677 68.0050555686384]","[132.41494136495876 131.2397303081441 132.29836113138128]","[0.6216666666666667 0.61 0.44166666666666665]","[0.24833333333333332 0.08833333333333333 0.3566666666666667]","[0.11666666666666667 0.16833333333333333 0.18]","[0.013333333333333334 0.13333333333333333 0.021666666666666667]","[74.34265618158851 73.87278075725847 77.01524220751779]","[0.3612053473600015 0.2721420022236295 0.5558342966844981]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[2 1 4]","[409 406 388]","[community-board community-board community-board]","[0.9383333333333334 0.8766666666666667 0.9366666666666666]","[0.945 0.885 0.9366666666666666]"
"8","0.005","239","[49 37 37]","[15 15 14]","[0.27 0.3 0.43]","[2.908333333333333 2.8633333333333333 2.9633333333333334]","[2.3466666666666667 2.3383333333333334 2.3933333333333335]","[70.41498166993642 69.88161113046277 90.98886429013842]","[133.67558489734657 133.60533167984937 133.15863279508267]","[0.4066666666666667 0.3883333333333333 0.5183333333333333]","[0.385 0.35833333333333334 0.2733333333333333]","[0.17 0.225 0.18]","[0.03833333333333333 0.028333333333333332 0.028333333333333332]","[74.49513820494255 75.03412900181598 53.962611752921724]","[0.7369229324725767 0.45705941222796587 1.6213967670229166]","[0 0 0]","[0 0 1]","[1 1 0]","[0 0 0]","[3 1 0]","[362 402 310]","[community-board community-board municipality]","[0.9316666666666666 0.9183333333333333 0.8533333333333334]","[0.9316666666666666 0.9266666666666666 0.865]"
"3","0.005","239","[37 37 49]","[15 15 15]","[0.4 0.34 0.21]","[2.83 2.83 2.8516666666666666]","[2.2983333333333333 2.285 2.2616666666666667]","[71.117645050919 67.83764329599019 68.44882225634478]","[131.8348687817828 129.24508141674693 130.47960624032308]","[0.38166666666666665 0.34 0.39]","[0.33166666666666667 0.37333333333333335 0.37666666666666665]","[0.26 0.26 0.22]","[0.02666666666666667 0.02666666666666667 0.013333333333333334]","[73.93973211320514 77.42691685733672 76.7169759110962]","[0.42420734951706157 0.9543789564276282 0.47892328016966884]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[1 1 2]","[393 351 379]","[community-board community-board community-board]","[0.8866666666666667 0.9133333333333333 0.9566666666666667]","[0.9016666666666666 0.9133333333333333 0.9566666666666667]"
"7","0.005","239","[37 37 49]","[14 15 15]","[0.5 0.4 0.31]","[2.855 2.8466666666666667 2.8233333333333333]","[2.365 2.3333333333333335 2.2716666666666665]","[92.01339810937758 70.82962631821624 71.35249202802086]","[132.8760235628591 132.87527149599958 130.48398636064618]","[0.4 0.5066666666666667 0.5666666666666667]","[0.33166666666666667 0.20833333333333334 0.21666666666666667]","[0.23 0.22166666666666668 0.155]","[0.03833333333333333 0.06333333333333334 0.06166666666666667]","[52.96068667226033 74.14451862877048 73.81295572979413]","[1.2710943207341217 0.44064865682740817 0.6766198760508114]","[0 0 0]","[1 0 0]","[0 1 1]","[0 0 0]","[4 2 6]","[314 379 377]","[municipality community-board community-board]","[0.8333333333333334 0.89 0.9183333333333333]","[0.8366666666666667 0.8916666666666667 0.9183333333333333]"
"1","0.005","239","[49 37 37]","[15 14 15]","[0.35 0.49 0.39]","[2.845 2.8516666666666666 2.8516666666666666]","[2.3366666666666664 2.3466666666666667 2.3216666666666668]","[72.18407083768436 91.09948037656534 71.33570724797347]","[133.4301420282758 130.58040272372207 131.80994031472028]","[0.5483333333333333 0.44333333333333336 0.44333333333333336]","[0.195 0.38666666666666666 0.31333333333333335]","[0.20333333333333334 0.15 0.185]","[0.05333333333333334 0.02 0.058333333333333334]","[72.7456844667202 54.05825407220361 73.72366419351565]","[0.8557856985309237 1.5750063581882996 0.5559388658786308]","[0 0 0]","[0 1 0]","[1 0 1]","[0 0 0]","[2 1 1]","[361 303 399]","[community-board municipality community-board]","[0.89 0.815 0.8833333333333333]","[0.9083333333333333 0.8216666666666667 0.8916666666666667]"
"4","0.005","239","[37 37 49]","[15 14 15]","[0.31 0.51 0.35]","[2.8066666666666666 2.905 2.8666666666666667]","[2.2666666666666666 2.3866666666666667 2.3366666666666664]","[68.14420086625967 91.92893985937692 72.9261087416888]","[130.03653292786697 132.73527049988252 134.25274740010863]","[0.56 0.43333333333333335 0.5533333333333333]","[0.22166666666666668 0.36666666666666664 0.21666666666666667]","[0.16666666666666666 0.19333333333333333 0.13166666666666665]","[0.051666666666666666 0.006666666666666667 0.09833333333333333]","[77.05704316617762 53.0564051672992 71.93783813296928]","[0.5715435145399691 1.8359358837238329 0.48037164963725465]","[0 0 0]","[0 1 0]","[1 0 1]","[0 0 0]","[1 0 1]","[407 311 382]","[community-board municipality community-board]","[0.9116666666666666 0.8233333333333334 0.8916666666666667]","[0.9216666666666666 0.8283333333333334 0.9066666666666666]"
"6","0.005","239","[49 37 37]","[15 15 15]","[0.28 0.4 0.33]","[2.84 2.8116666666666665 2.8333333333333335]","[2.26 2.285 2.2916666666666665]","[70.16724407859888 69.84790226382319 67.9927052879172]","[129.9023115479195 129.3274585005991 130.01719012646757]","[0.4816666666666667 0.4066666666666667 0.45166666666666666]","[0.3283333333333333 0.25833333333333336 0.31666666666666665]","[0.15833333333333333 0.22833333333333333 0.17666666666666667]","[0.03166666666666667 0.10666666666666667 0.055]","[75.04473766423428 75.41006772279563 77.21008616863203]","[0.8514089247044825 0.8399364150064146 0.31909309714040923]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[2 3 2]","[391 354 426]","[community-board community-board community-board]","[0.9283333333333333 0.8833333333333333 0.9016666666666666]","[0.93 0.8866666666666667 0.915]"
"9","0.005","239","[37 37 49]","[14 15 15]","[0.5 0.3 0.32]","[2.816666666666667 2.861666666666667 2.8783333333333334]","[2.315 2.296666666666667 2.3233333333333333]","[89.86909762537196 68.09674945859834 71.52569926727904]","[129.3514191161795 130.31348283711333 133.43559001905564]","[0.4216666666666667 0.4066666666666667 0.3566666666666667]","[0.37333333333333335 0.26 0.34833333333333333]","[0.19666666666666666 0.29 0.26]","[0.008333333333333333 0.043333333333333335 0.035]","[55.386955512000355 77.0823385810992 73.40362019786326]","[1.5785852709389332 0.5913626430763329 0.8268265832878525]","[0 0 0]","[1 0 0]","[0 1 1]","[0 0 0]","[2 2 0]","[324 371 363]","[municipality community-board community-board]","[0.8283333333333334 0.915 0.9216666666666666]","[0.835 0.9183333333333333 0.925]"
"10","0.005","239","[37 37 49]","[14 15 15]","[0.59 0.37 0.3]","[2.8983333333333334 2.8866666666666667 2.8383333333333334]","[2.425 2.335 2.2883333333333336]","[93.78813147010035 70.3578561905787 70.32422498061602]","[133.99294267281988 132.5812845248747 131.8630630773104]","[0.3016666666666667 0.4 0.515]","[0.4116666666666667 0.30666666666666664 0.2683333333333333]","[0.245 0.24333333333333335 0.16833333333333333]","[0.041666666666666664 0.05 0.04833333333333333]","[51.09659978274081 74.63980771409793 74.73089663986588]","[1.6554709223410828 0.40404077006356615 0.5945676749614858]","[0 0 0]","[1 0 0]","[0 1 1]","[0 0 0]","[3 0 2]","[274 378 394]","[municipality community-board community-board]","[0.76 0.8916666666666667 0.9216666666666666]","[0.765 0.9016666666666666 0.9283333333333333]"
