"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-06-20.nlogo"
"newinfo_exchange_5_7_9"
"06/23/2021 10:40:56:416 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","information-exchange-period","[step]","community-formation-time-list","subsidy-application-time","energy-diversity","initial-insulation-score","final-insulation","total-costs-per-household","total-co2-per-household","svo-1","svo-2","svo-3","svo-4","overall-pho-ptick-benefit","accumulated-miscomfort","count-biogas","count-electricboiler","count-ates","count-woodpellet","count-solar","count-heatpump","project-leaders","participation-while-forming","participation-at-the-end"
"7","5","239","[37 37 37]","[13 13 13]","[0.22 0.2 0.3]","[2.805 2.7983333333333333 2.868333333333333]","[2.256666666666667 2.2333333333333334 2.3033333333333332]","[75.63817488116517 74.99300905644132 80.21534511052523]","[129.19274170429395 127.71319826138183 131.16811031313307]","[0.42333333333333334 0.425 0.36333333333333334]","[0.3616666666666667 0.36833333333333335 0.33666666666666667]","[0.21166666666666667 0.19166666666666668 0.25833333333333336]","[0.0033333333333333335 0.015 0.041666666666666664]","[114.08890578249131 114.85243508264807 109.3537060644242]","[0.6320754778223745 0.7717208285850842 0.3993398465302187]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[6 1 2]","[444 452 420]","[community-board community-board community-board]","[0.9433333333333334 0.96 0.9233333333333333]","[0.955 0.96 0.9233333333333333]"
"4","5","239","[37 25 25]","[13 12 12]","[0.19 0.5 0.44]","[2.901666666666667 2.796666666666667 2.8633333333333333]","[2.3216666666666668 2.3183333333333334 2.3366666666666664]","[76.26330588821335 103.06679951074659 103.58529860489814]","[132.06223792567218 130.01723093782775 131.70003498167264]","[0.35833333333333334 0.4083333333333333 0.51]","[0.45666666666666667 0.23 0.27]","[0.17166666666666666 0.31166666666666665 0.18833333333333332]","[0.013333333333333334 0.05 0.03166666666666667]","[113.23421507773297 86.59432201422719 85.94119859656806]","[0.662261714817038 0.30944163628282506 0.5242509737009691]","[0 0 0]","[0 1 1]","[1 0 0]","[0 0 0]","[0 3 2]","[422 387 387]","[community-board municipality municipality]","[0.96 0.8233333333333334 0.8666666666666667]","[0.9633333333333334 0.8316666666666667 0.8716666666666667]"
"2","5","239","[37 37 37]","[13 13 13]","[0.32 0.35 0.27]","[2.8233333333333333 2.8183333333333334 2.9183333333333334]","[2.27 2.2816666666666667 2.3316666666666666]","[80.35234454412104 82.0147830518235 80.02399713712596]","[129.86695743594612 130.41980637353586 132.32614340899386]","[0.39166666666666666 0.3233333333333333 0.49833333333333335]","[0.33666666666666667 0.37166666666666665 0.285]","[0.24666666666666667 0.28 0.19833333333333333]","[0.025 0.025 0.018333333333333333]","[109.32079886100321 107.6141324382938 109.45241139015438]","[0.6190328653441142 0.4213302345019646 0.32953357471219336]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[1 2 2]","[436 422 436]","[community-board community-board community-board]","[0.9266666666666666 0.8983333333333333 0.925]","[0.9266666666666666 0.9066666666666666 0.93]"
"1","5","239","[37 37 25]","[13 13 12]","[0.35 0.28 0.4]","[2.8233333333333333 2.865 2.881666666666667]","[2.295 2.2983333333333333 2.3233333333333333]","[81.20597180200758 79.16836726217389 102.39133371810215]","[130.78286955343168 130.70701907473907 131.47598568954672]","[0.45166666666666666 0.39666666666666667 0.44333333333333336]","[0.29333333333333333 0.3383333333333333 0.31166666666666665]","[0.19333333333333333 0.22166666666666668 0.22333333333333333]","[0.06166666666666667 0.043333333333333335 0.021666666666666667]","[108.39389863371785 110.43757121184707 87.1530874267342]","[0.2962191572570051 0.3826732820139308 0.3163942035700134]","[0 0 0]","[0 0 1]","[1 1 0]","[0 0 0]","[3 3 2]","[437 438 407]","[community-board community-board municipality]","[0.9033333333333333 0.9333333333333333 0.8716666666666667]","[0.9116666666666666 0.935 0.89]"
"5","5","239","[37 25 37]","[13 12 13]","[0.22 0.46 0.29]","[2.841666666666667 2.825 2.868333333333333]","[2.29 2.325 2.3233333333333333]","[76.52532100398098 104.39892247253857 79.40347834987321]","[130.84622547050543 131.1027763138885 132.38084792982568]","[0.435 0.49 0.42]","[0.32 0.14833333333333334 0.3016666666666667]","[0.21 0.2633333333333333 0.24]","[0.035 0.09833333333333333 0.03833333333333333]","[113.06948095837868 85.17535542235036 110.06855381574067]","[0.42052595299249773 0.6831872680241013 0.6470616111659904]","[0 0 0]","[0 1 0]","[1 0 1]","[0 0 0]","[1 0 1]","[444 402 425]","[community-board municipality community-board]","[0.945 0.8616666666666667 0.93]","[0.95 0.8683333333333333 0.9316666666666666]"
"3","5","239","[37 25 37]","[13 12 13]","[0.41 0.4 0.33]","[2.7866666666666666 2.7583333333333333 2.9383333333333335]","[2.285 2.2466666666666666 2.3583333333333334]","[84.4143099807728 98.99651415840502 82.00530188917524]","[130.3484398468234 127.05216340877196 134.14918372283847]","[0.39666666666666667 0.36 0.36833333333333335]","[0.32166666666666666 0.305 0.37]","[0.2633333333333333 0.29333333333333333 0.20166666666666666]","[0.018333333333333333 0.041666666666666664 0.06]","[105.22031483148128 90.90181276889305 107.3252634129977]","[0.252293318114663 0.4324249814120107 0.6295219761490247]","[0 0 0]","[0 1 0]","[1 0 1]","[0 0 0]","[4 1 3]","[424 405 435]","[community-board municipality community-board]","[0.8783333333333333 0.8783333333333333 0.9066666666666666]","[0.885 0.8816666666666667 0.9216666666666666]"
"8","5","239","[37 37 37]","[13 13 13]","[0.32 0.28 0.27]","[2.8133333333333335 2.8966666666666665 2.835]","[2.2916666666666665 2.32 2.2783333333333333]","[80.33677960199167 78.24525657322347 78.98509421470163]","[131.40706871644176 131.27868889458668 129.87978890296944]","[0.51 0.30666666666666664 0.345]","[0.24 0.34833333333333333 0.33]","[0.20166666666666666 0.285 0.275]","[0.04833333333333333 0.06 0.05]","[109.2131549006931 111.31494831520952 110.68702267306084]","[0.5043409634876141 0.8098537683904817 0.3232050332369932]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[3 1 2]","[419 411 436]","[community-board community-board community-board]","[0.915 0.93 0.93]","[0.92 0.935 0.93]"
"6","5","239","[49 37 25]","[13 13 12]","[0.27 0.23 0.47]","[2.9033333333333333 2.756666666666667 2.84]","[2.335 2.2216666666666667 2.3233333333333333]","[83.10109039181413 75.9512750102289 103.05319626867254]","[132.8979193088493 127.98204119007626 131.4242653612231]","[0.35 0.435 0.32]","[0.395 0.35 0.35833333333333334]","[0.21666666666666667 0.19333333333333333 0.295]","[0.03833333333333333 0.021666666666666667 0.02666666666666667]","[106.32957606347786 113.87266169456493 86.49536250242967]","[0.7565499868831115 0.39330767040512415 0.5619869530211713]","[0 0 0]","[0 0 1]","[1 1 0]","[0 0 0]","[1 1 3]","[413 447 363]","[community-board community-board municipality]","[0.9316666666666666 0.9433333333333334 0.8433333333333334]","[0.9333333333333333 0.95 0.8483333333333334]"
"9","5","239","[37 37 25]","[13 13 12]","[0.26 0.24 0.41]","[2.8866666666666667 2.78 2.79]","[2.316666666666667 2.2316666666666665 2.2916666666666665]","[78.46410028123735 76.78502319643466 101.08508851395499]","[132.4845406858323 128.79975182859022 129.50830015619124]","[0.34 0.46166666666666667 0.4533333333333333]","[0.3333333333333333 0.36333333333333334 0.3233333333333333]","[0.31166666666666665 0.15166666666666667 0.18]","[0.015 0.023333333333333334 0.043333333333333335]","[110.999636463896 112.9734966572781 88.61674747354986]","[0.4565892650026572 0.27232213526132476 0.30757750819494345]","[0 0 0]","[0 0 1]","[1 1 0]","[0 0 0]","[3 3 6]","[419 454 408]","[community-board community-board municipality]","[0.94 0.945 0.875]","[0.9416666666666667 0.9483333333333334 0.8833333333333333]"
"10","5","239","[25 49 37]","[12 13 13]","[0.48 0.29 0.26]","[2.835 2.9616666666666664 2.865]","[2.32 2.3516666666666666 2.3016666666666667]","[104.04593015532384 85.1409809877289 78.84304918759479]","[130.64016458519453 134.3459904712807 131.41668901347305]","[0.36 0.4166666666666667 0.45666666666666667]","[0.3016666666666667 0.325 0.31833333333333336]","[0.28 0.225 0.17333333333333334]","[0.058333333333333334 0.03333333333333333 0.051666666666666666]","[85.56535667786058 104.17383977456866 110.70611569132745]","[0.5052397330231795 0.42560007293145186 0.31678207733421987]","[0 0 0]","[1 0 0]","[0 1 1]","[0 0 0]","[6 4 0]","[393 430 435]","[municipality community-board community-board]","[0.84 0.915 0.9383333333333334]","[0.845 0.9266666666666666 0.9416666666666667]"
