"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-06-20.nlogo"
"newnu_of_links_2_3_4"
"06/23/2021 11:38:10:110 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","number-of-links","[step]","community-formation-time-list","subsidy-application-time","energy-diversity","initial-insulation-score","final-insulation","total-costs-per-household","total-co2-per-household","svo-1","svo-2","svo-3","svo-4","overall-pho-ptick-benefit","accumulated-miscomfort","count-biogas","count-electricboiler","count-ates","count-woodpellet","count-solar","count-heatpump","project-leaders","participation-while-forming","participation-at-the-end"
"2","2","239","[37 37 37]","[15 14 14]","[0.2 0.41 0.42]","[2.8366666666666664 2.7733333333333334 2.8983333333333334]","[2.285 2.275 2.35]","[75.89465557263836 101.08856613821968 103.93294725521788]","[130.4834845193355 129.45900374196913 132.74789234375976]","[0.31333333333333335 0.36 0.47833333333333333]","[0.4666666666666667 0.31666666666666665 0.28]","[0.20666666666666667 0.29 0.19166666666666668]","[0.013333333333333334 0.03333333333333333 0.05]","[113.7291656658148 88.61721356242279 85.5097213572814]","[0.3602756389002623 0.7023063984615232 0.4961009569897167]","[0 0 0]","[0 1 1]","[1 0 0]","[0 0 0]","[4 1 6]","[442 364 398]","[community-board municipality municipality]","[0.9433333333333334 0.86 0.8733333333333333]","[0.955 0.8733333333333333 0.8816666666666667]"
"3","2","239","[37 37 37]","[15 15 14]","[0.27 0.22 0.44]","[2.8833333333333333 2.8383333333333334 2.8716666666666666]","[2.3183333333333334 2.27 2.3433333333333333]","[78.83126613844453 77.06317353637732 103.7522102606392]","[132.21825067414858 130.58272730228464 132.45133473028667]","[0.36 0.49666666666666665 0.3466666666666667]","[0.39666666666666667 0.2966666666666667 0.44666666666666666]","[0.20666666666666667 0.17666666666666667 0.19166666666666668]","[0.03666666666666667 0.03 0.015]","[110.6537738076235 112.55270827944 85.71418296093793]","[0.4565355235541567 0.3217362329953816 0.4159871956884899]","[0 0 0]","[0 0 1]","[1 1 0]","[0 0 0]","[1 3 4]","[429 411 362]","[community-board community-board municipality]","[0.9366666666666666 0.95 0.8466666666666667]","[0.9383333333333334 0.95 0.855]"
"8","2","239","[37 37 37]","[15 15 15]","[0.37 0.28 0.28]","[2.875 2.736666666666667 2.8266666666666667]","[2.341666666666667 2.22 2.2583333333333333]","[81.99352786175784 77.08784883612921 77.34222379884096]","[132.79948232634496 127.35085453472247 128.90040169925334]","[0.4 0.38333333333333336 0.345]","[0.3466666666666667 0.3933333333333333 0.3616666666666667]","[0.22 0.20666666666666667 0.25666666666666665]","[0.03333333333333333 0.016666666666666666 0.03666666666666667]","[107.44501355213461 112.78658280109298 112.4082440652188]","[0.5843016922397621 0.6078876815710361 0.6958238208439458]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[2 4 1]","[421 424 407]","[community-board community-board community-board]","[0.89 0.9316666666666666 0.93]","[0.9083333333333333 0.9366666666666666 0.935]"
"7","2","239","[37 37 37]","[15 14 15]","[0.27 0.42 0.34]","[2.8116666666666665 2.816666666666667 2.8016666666666667]","[2.2783333333333333 2.3183333333333334 2.29]","[78.22425158743555 103.69142997859971 81.20270847957872]","[129.8161238630279 131.2032536435155 131.08062353015873]","[0.38 0.4633333333333333 0.505]","[0.3616666666666667 0.3333333333333333 0.3]","[0.22666666666666666 0.175 0.15666666666666668]","[0.03166666666666667 0.028333333333333332 0.03833333333333333]","[111.45295850352225 85.8748097299189 108.37334163800864]","[0.3598797022443638 0.3023390373250732 0.24782439548979326]","[0 0 0]","[0 1 0]","[1 0 1]","[0 0 0]","[0 1 6]","[414 407 438]","[community-board municipality community-board]","[0.9383333333333334 0.86 0.905]","[0.9383333333333334 0.8733333333333333 0.915]"
"1","2","239","[37 37 37]","[15 14 15]","[0.2 0.46 0.17]","[2.8933333333333335 2.7733333333333334 2.785]","[2.3133333333333335 2.3066666666666666 2.216666666666667]","[74.51179852054833 104.12873287338992 74.06289441240381]","[131.68961110324915 130.8234222768126 127.06009549372126]","[0.4716666666666667 0.37166666666666665 0.5483333333333333]","[0.31666666666666665 0.365 0.2733333333333333]","[0.18833333333333332 0.22833333333333333 0.15333333333333332]","[0.023333333333333334 0.035 0.025]","[115.01553259119183 85.46789334446497 115.83479794809857]","[0.5006235512012508 0.3129172353271995 0.4686392876312384]","[0 0 0]","[0 1 0]","[1 0 1]","[0 0 0]","[2 0 1]","[426 375 442]","[community-board municipality community-board]","[0.96 0.8416666666666667 0.9683333333333334]","[0.9633333333333334 0.8533333333333334 0.9683333333333334]"
"5","2","239","[37 37 37]","[15 15 15]","[0.31 0.37 0.29]","[2.925 2.848333333333333 2.8983333333333334]","[2.36 2.3 2.325]","[80.93532883972868 82.24636865032863 80.2251081501982]","[133.82336252708612 130.4634516355453 132.69742806144419]","[0.37166666666666665 0.3616666666666667 0.42333333333333334]","[0.33666666666666667 0.30333333333333334 0.335]","[0.25 0.30333333333333334 0.22166666666666668]","[0.041666666666666664 0.03166666666666667 0.02]","[108.42130215810441 107.3790552188278 109.22159760488621]","[0.35651897210761935 0.5302812761169006 0.28081833067598483]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[0 6 2]","[433 431 405]","[community-board community-board community-board]","[0.9216666666666666 0.895 0.9183333333333333]","[0.9233333333333333 0.9083333333333333 0.9283333333333333]"
"6","2","239","[37 37 37]","[15 15 15]","[0.23 0.14 0.32]","[2.941666666666667 2.79 2.8533333333333335]","[2.328333333333333 2.2533333333333334 2.316666666666667]","[78.07315192405706 73.4973914945949 79.82787464337626]","[133.62100016101112 129.2165324660642 131.3415440476045]","[0.4166666666666667 0.4116666666666667 0.5333333333333333]","[0.365 0.39 0.26]","[0.185 0.175 0.16333333333333333]","[0.03333333333333333 0.023333333333333334 0.043333333333333335]","[111.29966806306219 116.22778590811996 109.7273018328154]","[0.27775957436914717 0.5502170766784085 0.7167564778742779]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[1 4 2]","[404 443 416]","[community-board community-board community-board]","[0.9416666666666667 0.9733333333333334 0.9183333333333333]","[0.945 0.9733333333333334 0.9266666666666666]"
"4","2","239","[37 37 37]","[15 15 14]","[0.3 0.4 0.46]","[2.8383333333333334 2.933333333333333 2.865]","[2.316666666666667 2.4066666666666667 2.34]","[79.22728542578052 84.68822717310556 105.28855202908274]","[131.64599654940838 135.93487121618483 131.8795458419161]","[0.3516666666666667 0.49 0.45]","[0.37833333333333335 0.24333333333333335 0.28833333333333333]","[0.25 0.20333333333333334 0.22]","[0.02 0.06333333333333334 0.041666666666666664]","[110.30353485026677 104.49948312959953 84.22358430356387]","[0.3880920209252591 0.5246534311721677 0.7735134559935147]","[0 0 0]","[0 0 1]","[1 1 0]","[0 0 0]","[2 3 4]","[417 391 366]","[community-board community-board municipality]","[0.915 0.8816666666666667 0.8433333333333334]","[0.9233333333333333 0.8933333333333333 0.85]"
"9","2","239","[37 37 37]","[14 15 15]","[0.49 0.29 0.26]","[2.8016666666666667 2.8216666666666668 2.8783333333333334]","[2.32 2.2916666666666665 2.3116666666666665]","[106.11778686260358 79.05134583731245 78.95456850102349]","[131.88746724554892 131.08103085996626 131.40264894483394]","[0.41 0.3883333333333333 0.41333333333333333]","[0.3566666666666667 0.345 0.3016666666666667]","[0.175 0.23666666666666666 0.245]","[0.058333333333333334 0.03 0.04]","[83.39371575775252 110.52467169389026 110.59571958338991]","[0.4613132972052972 0.27904936694950816 0.3778747564221726]","[0 0 0]","[1 0 0]","[0 1 1]","[0 0 0]","[6 1 4]","[379 409 412]","[municipality community-board community-board]","[0.84 0.9316666666666666 0.9416666666666667]","[0.845 0.9366666666666666 0.9416666666666667]"
"10","2","239","[37 37 37]","[14 14 15]","[0.41 0.46 0.4]","[2.88 2.933333333333333 2.8933333333333335]","[2.345 2.3966666666666665 2.348333333333333]","[102.64977160553187 108.02148523277131 83.12090874382712]","[132.12688437803595 135.37583495791316 133.86941913682165]","[0.37833333333333335 0.4166666666666667 0.36666666666666664]","[0.3883333333333333 0.3616666666666667 0.33]","[0.20833333333333334 0.21166666666666667 0.25]","[0.025 0.01 0.05333333333333334]","[86.84257764422517 81.21094797059567 106.23203772522713]","[0.555134424410048 0.4524362806052045 0.3061245648288974]","[0 0 0]","[1 1 0]","[0 0 1]","[0 0 0]","[2 1 3]","[371 377 398]","[municipality municipality community-board]","[0.865 0.8516666666666667 0.8866666666666667]","[0.8816666666666667 0.855 0.8983333333333333]"
