"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-06-20.nlogo"
"newpercentage_per_svo_10_15_20"
"06/23/2021 10:58:07:551 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","percentage-loss-per-svo","[step]","community-formation-time-list","subsidy-application-time","energy-diversity","initial-insulation-score","final-insulation","total-costs-per-household","total-co2-per-household","svo-1","svo-2","svo-3","svo-4","overall-pho-ptick-benefit","accumulated-miscomfort","count-biogas","count-electricboiler","count-ates","count-woodpellet","count-solar","count-heatpump","project-leaders","participation-while-forming","participation-at-the-end"
"4","10","239","[37 37 37]","[14 15 15]","[0.53 0.2 0.36]","[2.81 2.905 2.8366666666666664]","[2.325 2.335 2.32]","[106.92081116389299 77.81911193577302 81.12454656504603]","[131.96058908219015 133.02539137032403 132.51552687946418]","[0.37833333333333335 0.385 0.35333333333333333]","[0.245 0.43166666666666664 0.3883333333333333]","[0.32 0.175 0.23166666666666666]","[0.056666666666666664 0.008333333333333333 0.02666666666666667]","[82.58484170953184 111.60135675460106 108.33671128459683]","[0.3572810166770803 0.3894820556711182 0.29437833794364926]","[0 0 0]","[1 0 0]","[0 1 1]","[0 0 0]","[0 3 1]","[369 452 427]","[municipality community-board community-board]","[0.7966666666666666 0.9516666666666667 0.8916666666666667]","[0.81 0.955 0.9083333333333333]"
"6","10","239","[37 37 37]","[15 15 15]","[0.32 0.31 0.25]","[2.848333333333333 2.87 2.8916666666666666]","[2.2933333333333334 2.3116666666666665 2.32]","[79.47267200587036 80.2649266380159 78.67536886833344]","[131.05057291589628 131.47394354441525 132.31904090007868]","[0.36833333333333335 0.3616666666666667 0.43166666666666664]","[0.365 0.37166666666666665 0.36333333333333334]","[0.245 0.23833333333333334 0.17]","[0.021666666666666667 0.028333333333333332 0.035]","[110.10578216085801 109.27965787843083 110.80160785966038]","[0.6966161415061924 0.6401502192555515 0.2512075955408389]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[1 3 5]","[406 432 440]","[community-board community-board community-board]","[0.9283333333333333 0.92 0.9316666666666666]","[0.9283333333333333 0.9216666666666666 0.9416666666666667]"
"2","10","239","[37 37 37]","[14 15 14]","[0.4 0.34 0.5]","[2.79 2.8466666666666667 2.816666666666667]","[2.2666666666666666 2.2866666666666666 2.32]","[100.1012979129134 81.70697972557942 105.45867487531486]","[129.03019614423604 130.89919363222836 131.41360627713382]","[0.365 0.515 0.44333333333333336]","[0.4 0.215 0.30833333333333335]","[0.21833333333333332 0.21333333333333335 0.19666666666666666]","[0.016666666666666666 0.056666666666666664 0.051666666666666666]","[89.63878639554778 107.88358478384237 84.09073662251453]","[0.5738010422436366 0.2472306662141025 0.3959011367687524]","[0 0 0]","[1 0 1]","[0 1 0]","[0 0 0]","[0 4 1]","[392 445 402]","[municipality community-board municipality]","[0.8766666666666667 0.9 0.8266666666666667]","[0.8783333333333333 0.9133333333333333 0.8366666666666667]"
"5","10","239","[37 37 37]","[15 14 15]","[0.19 0.42 0.31]","[2.91 2.86 2.795]","[2.325 2.335 2.2783333333333333]","[74.80155677562075 102.31402424841143 79.53811141496708]","[131.63030671942684 131.461212215208 130.33710717308458]","[0.33666666666666667 0.355 0.47333333333333333]","[0.48 0.38666666666666666 0.31333333333333335]","[0.18166666666666667 0.225 0.19]","[0.0016666666666666668 0.03333333333333333 0.023333333333333334]","[114.73051868682523 87.23157877437193 110.09742001118624]","[0.6822666896967295 1.2281530764339244 0.3485534231916398]","[0 0 0]","[0 1 0]","[1 0 1]","[0 0 0]","[1 3 1]","[470 381 451]","[community-board municipality community-board]","[0.9566666666666667 0.87 0.93]","[0.96 0.8766666666666667 0.93]"
"7","10","239","[37 37 37]","[15 15 14]","[0.32 0.36 0.42]","[2.8316666666666666 2.825 2.91]","[2.3016666666666667 2.2883333333333336 2.385]","[79.91351848727331 82.00525769683549 105.6468100537088]","[131.2671364960579 130.5398712881231 134.57911270642285]","[0.4083333333333333 0.38 0.47333333333333333]","[0.345 0.3566666666666667 0.2966666666666667]","[0.20833333333333334 0.23833333333333334 0.19166666666666668]","[0.03833333333333333 0.025 0.03833333333333333]","[109.64761059304197 107.61405260011477 83.64936092977732]","[0.3381077359426759 0.3804225350901843 0.4282681684679865]","[0 0 0]","[0 0 1]","[1 1 0]","[0 0 0]","[2 1 4]","[425 429 385]","[community-board community-board municipality]","[0.9116666666666666 0.8966666666666666 0.865]","[0.9233333333333333 0.905 0.8766666666666667]"
"1","10","239","[37 37 37]","[15 15 15]","[0.24 0.28 0.4]","[2.828333333333333 2.8733333333333335 2.8466666666666667]","[2.276666666666667 2.33 2.3116666666666665]","[76.60186020874444 79.024792964653 84.4115929934621]","[130.29708419532398 130.93696680787875 131.71811578491253]","[0.4816666666666667 0.385 0.4116666666666667]","[0.3233333333333333 0.3883333333333333 0.31666666666666665]","[0.15666666666666668 0.215 0.24833333333333332]","[0.03833333333333333 0.011666666666666667 0.023333333333333334]","[113.03687305562963 110.56274969071683 105.11345774374506]","[0.4095294573609844 0.8770225668669018 0.29952066138354305]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[1 1 1]","[457 443 412]","[community-board community-board community-board]","[0.9333333333333333 0.92 0.87]","[0.9466666666666667 0.9283333333333333 0.8833333333333333]"
"8","10","239","[37 37 37]","[14 15 15]","[0.44 0.34 0.35]","[2.915 2.8 2.845]","[2.3766666666666665 2.2783333333333333 2.296666666666667]","[105.44087659828294 82.15812777712267 83.54968881931863]","[134.1573686592925 130.42839536013193 131.19602466948606]","[0.43 0.4583333333333333 0.47]","[0.37166666666666665 0.29833333333333334 0.29333333333333333]","[0.19 0.20833333333333334 0.185]","[0.008333333333333333 0.035 0.051666666666666666]","[83.88903390897372 107.4701005940667 106.01712920712247]","[0.3953650015127168 0.43188854139123184 0.27309697353560347]","[0 0 0]","[1 0 0]","[0 1 1]","[0 0 0]","[1 4 1]","[400 435 414]","[municipality community-board community-board]","[0.8583333333333333 0.8966666666666666 0.89]","[0.8683333333333333 0.9066666666666666 0.8983333333333333]"
"3","10","239","[37 37 37]","[14 15 14]","[0.49 0.2 0.5]","[2.966666666666667 2.84 2.8566666666666665]","[2.415 2.283333333333333 2.3316666666666666]","[108.17216424903431 76.43438162940099 105.99625350777275]","[135.2457426701803 130.2510674648296 132.30245732219984]","[0.43833333333333335 0.37666666666666665 0.32]","[0.355 0.4066666666666667 0.40166666666666667]","[0.19666666666666666 0.21166666666666667 0.245]","[0.01 0.005 0.03333333333333333]","[81.07067633735129 113.20803297341249 83.48204990645111]","[0.2762296798377721 0.4994570162787395 0.34598663615917535]","[0 0 0]","[1 0 1]","[0 1 0]","[0 0 0]","[1 1 1]","[395 466 366]","[municipality community-board municipality]","[0.835 0.9583333333333334 0.8166666666666667]","[0.8433333333333334 0.96 0.825]"
"9","10","239","[37 37 37]","[15 14 15]","[0.28 0.55 0.35]","[2.828333333333333 2.8016666666666667 2.8066666666666666]","[2.2933333333333334 2.335 2.295]","[78.12848354257903 107.9014439663948 82.15171946304096]","[131.43669665226417 131.30631139832258 131.85831379612182]","[0.415 0.38333333333333336 0.4666666666666667]","[0.35 0.355 0.2916666666666667]","[0.22 0.23666666666666666 0.22]","[0.015 0.025 0.021666666666666667]","[111.41908072523967 81.6565511217394 107.36211543326912]","[0.36196994767809815 0.7409586661608638 0.267527095636348]","[0 0 0]","[0 1 0]","[1 0 1]","[0 0 0]","[3 1 1]","[430 360 448]","[community-board municipality community-board]","[0.9333333333333333 0.79 0.9016666666666666]","[0.935 0.795 0.9116666666666666]"
"10","10","239","[37 37 37]","[14 15 15]","[0.5 0.27 0.34]","[2.8783333333333334 2.86 2.9266666666666667]","[2.3833333333333333 2.2883333333333336 2.3583333333333334]","[107.4721759783213 78.40496866394354 82.24899985695293]","[134.49435829824466 130.80186115914117 133.39914422006623]","[0.3883333333333333 0.305 0.5116666666666667]","[0.2733333333333333 0.37 0.21333333333333335]","[0.2916666666666667 0.295 0.185]","[0.04666666666666667 0.03 0.09]","[81.8307753578192 111.19338244332506 107.14156860544179]","[0.6282145162946549 0.33146917107003554 0.29637303563079337]","[0 0 0]","[1 0 0]","[0 1 1]","[0 0 0]","[1 3 1]","[361 427 431]","[municipality community-board community-board]","[0.8333333333333334 0.9216666666666666 0.895]","[0.8366666666666667 0.9333333333333333 0.9083333333333333]"
